ID,Titulo,Detalles,URL,Niveles,Nivel,Categorias
22,40 Beautiful Ways to Say Thank You,speaking vocabulary,https://www.engvid.com/40-beautiful-ways-to-say-thank-you/,"Intermediate, Advanced",Advanced,"speaking, vocabulary"
23,"5 English Interrogative Pronouns: WHO, WHOM, WHOSE, WHICH, WHAT",grammar,https://www.engvid.com/5-english-interrogative-pronouns-who-whom-whose-which-what/,"Beginner, Intermediate",Intermediate,grammar
24,“What do you like doing?” – Gerunds in English Conversation,grammar speaking,https://www.engvid.com/what-do-you-like-doing-gerunds-in-english-conversation/,"Beginner, Intermediate",Intermediate,"grammar, speaking"
25,"Noun → Verb: How to Use -ize, -en, -ify, -ate",grammar vocabulary,https://www.engvid.com/noun-to-verb-ize-en-ify-ate/,Intermediate,Intermediate,"grammar, vocabulary"
26,Listening for English Learners: 3 Short Stories + 12 Practice Questions,comprehension,https://www.engvid.com/listening-for-english-learners-3-short-stories-12-practice-questions/,Intermediate,Intermediate,comprehension
27,Everyday English: Say What People Did — Gestures & Reactions,expressions,https://www.engvid.com/everyday-english-gestures-reactions/,Intermediate,Intermediate,expressions
28,Say Sorry the Right Way: How to Make a Real Apology,culture & tips speaking vocabulary,https://www.engvid.com/say-sorry-the-right-way/,"Intermediate, Advanced",Advanced,"culture & tips, speaking, vocabulary"
29,"Say More Than “Nice”: Vocabulary for Price, Quality, and Fashion",vocabulary,https://www.engvid.com/more-than-nice-vocabulary-for-price-quality-fashion/,Intermediate,Intermediate,vocabulary
30,Say your name so people understand! Use my 3 tips.,culture & tips pronunciation,https://www.engvid.com/say-your-name-so-people-understand/,"Beginner, Intermediate",Intermediate,"culture & tips, pronunciation"
31,Learn 23 BIG Expressions in English,expressions,https://www.engvid.com/learn-23-big-expressions-in-english/,Beginner,Beginner,expressions
32,RESPECT & Support LGBTQ+ Students in Your Classroom (for Teachers & Students),culture & tips,https://www.engvid.com/respect-support-lgbtq-students/,"Beginner, Intermediate, Advanced",Advanced,culture & tips
33,English for Beginners: Learn How to Make YES/NO QUESTIONS,grammar,https://www.engvid.com/english-for-beginners-yes-no-questions/,Beginner,Beginner,grammar
34,Master English ADJECTIVES + PREPOSITIONS,grammar,https://www.engvid.com/master-english-adjectives-prepositions/,Intermediate,Intermediate,grammar
35,How to Use “WOULD” | English Grammar Explanation & Practice,grammar,https://www.engvid.com/how-to-use-would-english-grammar-explanation-practice/,Advanced,Advanced,grammar
36,"Use Animals as VERBS in English! “to parrot”, “to yak”, “to hog”…",vocabulary,https://www.engvid.com/use-animals-as-verbs-in-english-parrot-yak-hog/,Intermediate,Intermediate,vocabulary
37,EASY ENGLISH CONVERSATION: Talk about your commute to work or school,business english speaking vocabulary,https://www.engvid.com/easy-english-conversation-talk-about-your-commute/,Beginner,Beginner,"business english, speaking, vocabulary"
38,"“Get over it”, “hook up”, “blow away”: 10 Everyday English Expressions",expressions slang vocabulary,https://www.engvid.com/get-over-it-hook-up-blow-away-10-everyday-english-expressions/,Intermediate,Intermediate,"expressions, slang, vocabulary"
39,"Speak Better English at Work: Practical English for Waiters, Servers, Baristas, and more!",business english speaking,https://www.engvid.com/practical-english-for-waiters-servers-baristas/,Intermediate,Intermediate,"business english, speaking"
40,From Vision to Action: My 3-Book Formula for Success,culture & tips,https://www.engvid.com/3-book-formula-success/,"Intermediate, Advanced",Advanced,culture & tips
41,How to Say English Contractions – The EASY Way!,pronunciation,https://www.engvid.com/how-to-say-english-contractions-the-easy-way/,"Beginner, Intermediate",Intermediate,pronunciation
42,"Talking About Perimenopause in English (Yes, It’s Real.)",culture & tips,https://www.engvid.com/talking-about-perimenopause-in-english/,Intermediate,Intermediate,culture & tips
43,Social English at Work – Easy Tips for English Learners,business english culture & tips,https://www.engvid.com/social-english-at-work/,"Beginner, Intermediate, Advanced",Advanced,"business english, culture & tips"
44,EASY ENGLISH VOCABULARY: Money Slang & Expressions,slang vocabulary,https://www.engvid.com/easy-english-vocabulary-money-slang-expressions/,Intermediate,Intermediate,"slang, vocabulary"
45,Fall in LOVE…in English! Learn 10 Dating & Relationship Phrasal Verbs,expressions vocabulary,https://www.engvid.com/10-dating-relationship-phrasal-verbs/,Advanced,Advanced,"expressions, vocabulary"
46,“SOME” or “ANY”? It’s easy!,grammar vocabulary,https://www.engvid.com/some-or-any-its-easy/,Beginner,Beginner,"grammar, vocabulary"
47,"“Regime”, “sabotage”, “silhouette”: 26 French Words We Use in ENGLISH",vocabulary,https://www.engvid.com/26-french-words-we-use-in-english/,Advanced,Advanced,vocabulary
48,How to Talk About Age in English,speaking vocabulary,https://www.engvid.com/how-to-talk-about-age-in-english/,Intermediate,Intermediate,"speaking, vocabulary"
49,Improve Your English by Reading (Even if you HATE reading!),comprehension culture & tips,https://www.engvid.com/improve-your-english-even-if-you-hate-reading/,"Beginner, Intermediate",Intermediate,"comprehension, culture & tips"
50,"“Blow Up”, “Tell Off”, “Let Down”: 11 PHRASAL VERBS for Emotions",expressions vocabulary,https://www.engvid.com/11-phrasal-verbs-for-emotions/,Intermediate,Intermediate,"expressions, vocabulary"
51,Workplace English: Talking about Problems and Solutions,business english speaking,https://www.engvid.com/workplace-english-talking-about-problems-and-solutions/,Intermediate,Intermediate,"business english, speaking"
52,Are English Speakers Lazy? I CAN’(T) believe it!,pronunciation speaking,https://www.engvid.com/are-english-speakers-lazy-i-cant-believe-it/,Intermediate,Intermediate,"pronunciation, speaking"
53,Are you using “enjoy” correctly in English?,grammar,https://www.engvid.com/are-you-using-enjoy-correctly-in-english/,Intermediate,Intermediate,grammar
54,SORRY! Why Canadians say “sorry” so much,culture & tips speaking,https://www.engvid.com/sorry-why-canadians-say-sorry-so-much/,"Beginner, Intermediate",Intermediate,"culture & tips, speaking"
55,"Easy English: Talk About Your Life – Birth, Job, Marriage, and more!",speaking vocabulary,https://www.engvid.com/easy-english-talk-about-your-life-stages/,Intermediate,Intermediate,"speaking, vocabulary"
56,"Say it correctly in English! -T, -S, -TS, -NT, -CE Pronunciation",pronunciation,https://www.engvid.com/say-it-correctly-in-english-t-s-ts-nt-ce-pronunciation/,Intermediate,Intermediate,pronunciation
57,"Improve Your Vocabulary: One idea, opposite words!",vocabulary,https://www.engvid.com/improve-your-vocabulary-one-idea-opposite-words/,"Intermediate, Advanced",Advanced,vocabulary
58,Listen and Speak: English Speaking Practice for Work,business english speaking vocabulary,https://www.engvid.com/listen-and-speak-english-speaking-practice-for-work/,Advanced,Advanced,"business english, speaking, vocabulary"
59,How to Succeed in Work Meetings (Even if English isn’t your first language!),business english culture & tips,https://www.engvid.com/how-to-succeed-in-work-meetings/,Intermediate,Intermediate,"business english, culture & tips"
60,"Confusing English Grammar: “MOST”, “MOST OF”, or “ALMOST”?",grammar,https://www.engvid.com/confusing-english-grammar-most-most-of-almost/,Beginner,Beginner,grammar
61,Learn 11 Odd Metaphors in English (What do they mean???),comprehension expressions,https://www.engvid.com/learn-11-odd-metaphors-in-english/,Advanced,Advanced,"comprehension, expressions"
62,Learn English: “I live…at? on? in? near? close to?”,grammar,https://www.engvid.com/learn-english-i-live-at-on-in-near-close-to/,Beginner,Beginner,grammar
63,"11 Stylish English Collocations: “feel free”, “crystal clear”, “special someone”…",expressions,https://www.engvid.com/11-stylish-english-collocations-alliteration/,Intermediate,Intermediate,expressions
64,English for Meetings: How to Present New Ideas Strongly,business english expressions,https://www.engvid.com/english-for-meetings-how-to-present-new-ideas-strongly/,Intermediate,Intermediate,"business english, expressions"
65,Casual English Booster! 20 Passive “GET” Phrases,expressions grammar,https://www.engvid.com/casual-english-booster-20-passive-get-phrases/,Advanced,Advanced,"expressions, grammar"
66,Speak & Listen: 5 Simple English Communication Tips,culture & tips speaking,https://www.engvid.com/speak-listen-5-simple-english-communication-tips/,Beginner,Beginner,"culture & tips, speaking"
67,Confusing English Grammar: “BY” or “WITH”?,grammar,https://www.engvid.com/confusing-english-grammar-by-or-with/,Beginner,Beginner,grammar
68,Improve Your English FASTER by Reading (It really works!),culture & tips,https://www.engvid.com/improve-your-english-faster-by-reading/,"Intermediate, Advanced",Advanced,culture & tips
69,Improve Your ENGLISH FLUENCY with BINOMIALS,vocabulary,https://www.engvid.com/improve-your-english-fluency-with-binomials/,"Intermediate, Advanced",Advanced,vocabulary
70,Build Your Vocabulary FASTER!,culture & tips vocabulary,https://www.engvid.com/build-your-vocabulary-faster/,"Intermediate, Advanced",Advanced,"culture & tips, vocabulary"
71,Business English: How to get a meeting – EXACTLY what to write and say,business english,https://www.engvid.com/business-english-how-to-get-a-meeting/,"Intermediate, Advanced",Advanced,business english
72,Feeling bad about your English? 18 solutions!,culture & tips,https://www.engvid.com/feeling-bad-about-your-english-18-solutions/,"Beginner, Intermediate, Advanced",Advanced,culture & tips
73,TEST YOURSELF! Practice Listening to Reduced English Speech,comprehension pronunciation speaking,https://www.engvid.com/test-yourself-practice-listening-to-reduced-english-speech/,Advanced,Advanced,"comprehension, pronunciation, speaking"
74,5 English Expressions to use at work,expressions speaking vocabulary,https://www.engvid.com/5-english-expressions-to-use-at-work/,Intermediate,Intermediate,"expressions, speaking, vocabulary"
75,Talking about People: 8 Essential Idioms,expressions,https://www.engvid.com/talking-about-people-8-essential-idioms/,Intermediate,Intermediate,expressions
76,The Roots of Everyday English Expressions: The Bible & Folk Tales,culture & tips expressions,https://www.engvid.com/everyday-english-expressions-bible-folk-tales/,Intermediate,Intermediate,"culture & tips, expressions"
77,"English for Living in the UK: Setting up Internet, Mobile, TV Services",culture & tips speaking,https://www.engvid.com/english-for-living-in-the-uk-internet-mobile-tv-setup/,Intermediate,Intermediate,"culture & tips, speaking"
78,"Animal Phrasal Verbs! “Clam up”, “wolf down”, “monkey around”…",vocabulary,https://www.engvid.com/animal-phrasal-verbs/,"Intermediate, Advanced",Advanced,vocabulary
79,30 Minutes of ENGLISH VOCABULARY TRAINING (Interactive Practice),speaking vocabulary,https://www.engvid.com/30-minutes-of-english-vocabulary-training-interactive-practice/,Intermediate,Intermediate,"speaking, vocabulary"
80,The S.B.A.R. Method: Write Better at Work,business english writing,https://www.engvid.com/the-sbar-method-write-better-at-work/,"Intermediate, Advanced",Advanced,"business english, writing"
81,"Confusing English Words: COST, PRICE, WORTH, VALUE 🤔",vocabulary,https://www.engvid.com/confusing-english-words-cost-price-worth-value/,Intermediate,Intermediate,vocabulary
82,How to Use Subordinating Conjunctions for Better English,grammar writing,https://www.engvid.com/how-to-use-subordinating-conjunctions-for-better-english/,"Intermediate, Advanced",Advanced,"grammar, writing"
83,Confusing English Grammar: “HAVE” or “HAVING”?,grammar,https://www.engvid.com/confusing-english-grammar-have-or-having/,Intermediate,Intermediate,grammar
84,"English Vocabulary for Personal Finances – assets, equity, collateral…",expressions vocabulary,https://www.engvid.com/english-vocabulary-for-personal-finances/,Intermediate,Intermediate,"expressions, vocabulary"
85,Professional English Vocabulary for Sales,business english vocabulary,https://www.engvid.com/professional-english-vocabulary-for-sales/,"Intermediate, Advanced",Advanced,"business english, vocabulary"
86,How to Support and Empower Women Everywhere,culture & tips,https://www.engvid.com/how-to-support-and-empower-women-everywhere/,"Beginner, Intermediate, Advanced",Advanced,culture & tips
87,15 Minutes of English Speaking Practice: Phrasal Verbs,speaking vocabulary,https://www.engvid.com/15-minutes-of-english-speaking-practice-phrasal-verbs/,Intermediate,Intermediate,"speaking, vocabulary"
88,How to Pronounce ‘-ED’ in Past Tense (Beginner Tips),pronunciation,https://www.engvid.com/how-to-pronounce-ed-in-past-tense-beginner-tips/,Beginner,Beginner,pronunciation
89,Have Better Conversations: The S.E.A. Small Talk Method,culture & tips speaking,https://www.engvid.com/have-better-conversations-sea-small-talk/,Intermediate,Intermediate,"culture & tips, speaking"
90,Polite English: 4 Easy Changes You Can Make,culture & tips speaking,https://www.engvid.com/polite-english-4-easy-changes-you-can-make/,Intermediate,Intermediate,"culture & tips, speaking"
91,4 Tips for a Successful Presentation,business english,https://www.engvid.com/4-tips-for-a-successful-presentation/,"Intermediate, Advanced",Advanced,business english
92,How to Ask for Payment in English: Polite & Professional Phrases,business english,https://www.engvid.com/how-to-ask-for-payment-in-english/,Advanced,Advanced,business english
93,Why English is Weird: Many Meanings of “BEAR” & “BARE”,vocabulary,https://www.engvid.com/why-english-is-weird-bear-bare/,Intermediate,Intermediate,vocabulary
94,English Listening Practice: Phone Conversations,comprehension,https://www.engvid.com/english-listening-practice-phone-conversations/,Intermediate,Intermediate,comprehension
95,5 English Idioms to MOTIVATE & INSPIRE,expressions,https://www.engvid.com/5-english-idioms-to-motivate-inspire/,Intermediate,Intermediate,expressions
96,ALL the VOWEL SOUNDS in ENGLISH,pronunciation,https://www.engvid.com/all-the-vowel-sounds-in-english/,Beginner,Beginner,pronunciation
97,AFFECT or EFFECT? Infer or Imply? Sympathy or Empathy?,vocabulary,https://www.engvid.com/affect-effect-infer-imply-sympathy-empathy/,Advanced,Advanced,vocabulary
98,Phrasal Verbs: Add “OFF” to change the meaning of these 8 verbs,expressions vocabulary,https://www.engvid.com/8-off-phrasal-verbs/,"Intermediate, Advanced",Advanced,"expressions, vocabulary"
99,Advanced English Grammar: Multi-Clause Sentences (Embedded Clauses),grammar,https://www.engvid.com/advanced-english-grammar-multi-clause-sentences-embedded-clauses/,Advanced,Advanced,grammar
100,Whip Up Your English: Learn These 6 Expressions!,expressions slang,https://www.engvid.com/whip-up-your-english-learn-these-6-expressions/,Intermediate,Intermediate,"expressions, slang"
101,"When to use DURING, FOR, and SINCE in English",grammar,https://www.engvid.com/when-to-use-during-for-since-in-english/,Intermediate,Intermediate,grammar
102,Learn Past Tense IRREGULAR VERBS the EASY Way!,grammar,https://www.engvid.com/learn-past-tense-irregular-verbs-the-easy-way/,Beginner,Beginner,grammar
103,The Expectation Effect: 3 Mental Methods to Learn English Faster,culture & tips,https://www.engvid.com/the-expectation-effect-3-mental-methods-to-learn-english-faster/,Advanced,Advanced,culture & tips
104,12 Confusing English Adjectives,vocabulary,https://www.engvid.com/12-confusing-english-adjectives/,Intermediate,Intermediate,vocabulary
105,Improve Your English Listening & Speaking…ALONE! My Self-Study Tips,culture & tips,https://www.engvid.com/listening-and-speaking-alone-self-study-tips/,"Beginner, Intermediate",Intermediate,culture & tips
106,How to Remember Names: The F.R.L.R. Method,culture & tips,https://www.engvid.com/how-to-remember-names-the-frlr-method/,"Intermediate, Advanced",Advanced,culture & tips
107,“Glow-Up” Your English: Improve Fluency & Confidence,,https://www.engvid.com/glow-up-your-english-improve-fluency-confidence/,"Intermediate, Advanced",Advanced,
108,Let’s talk! Learn 5 “TALK” Phrasal Verbs,expressions vocabulary,https://www.engvid.com/lets-talk-learn-5-talk-phrasal-verbs/,Intermediate,Intermediate,"expressions, vocabulary"
109,How to Say Years in English,pronunciation speaking,https://www.engvid.com/how-to-say-years-in-english/,"Beginner, Intermediate",Intermediate,"pronunciation, speaking"
110,Advanced English: 5 Idioms with Unexpected Histories,expressions,https://www.engvid.com/advanced-english-5-idioms-with-unexpected-histories/,Advanced,Advanced,expressions
111,“GOOD” or “WELL”? What’s the difference?,grammar,https://www.engvid.com/good-or-well-whats-the-difference/,Beginner,Beginner,grammar
112,"Professional English Communication: Invitations, Small Talk, and Thank Yous",business english,https://www.engvid.com/professional-english-communication-invitations-small-talk-thank-yous/,Advanced,Advanced,business english
113,"Live, Work, or Study in Canada: IELTS or CELPIP?",culture & tips IELTS,https://www.engvid.com/live-work-or-study-in-canada-ielts-or-celpip/,Intermediate,Intermediate,"culture & tips, ielts"
114,20 “TO” Phrases That Can Use Verb+ing,grammar,https://www.engvid.com/20-to-phrases-that-can-use-verbing/,Advanced,Advanced,grammar
115,Learn 7 Advanced English Words Through Storytelling,comprehension vocabulary,https://www.engvid.com/learn-7-advanced-english-words-through-storytelling/,Advanced,Advanced,"comprehension, vocabulary"
116,"English Vocabulary: Housework – Dishes, Errands, Laundry…",speaking vocabulary,https://www.engvid.com/english-vocabulary-housework-dishes-errands-laundry/,Beginner,Beginner,"speaking, vocabulary"
117,"Learn English: LESS, FEWER, FEW, LITTLE, A FEW, A LITTLE, MORE",grammar,https://www.engvid.com/learn-english-less-fewer-few-little-more/,Intermediate,Intermediate,grammar
118,How to Make an Appointment in English – Prepositions & Expressions,grammar speaking,https://www.engvid.com/how-to-make-an-appointment-in-english-prepositions-expressions/,Intermediate,Intermediate,"grammar, speaking"
119,Essential English for Teamwork & Sharing Ideas,business english,https://www.engvid.com/essential-english-for-teamwork-sharing-ideas/,Intermediate,Intermediate,business english
120,9 Ways to Feel More Comfortable in Groups,culture & tips speaking,https://www.engvid.com/9-ways-to-feel-more-comfortable-in-groups/,"Intermediate, Advanced",Advanced,"culture & tips, speaking"
121,"Speak Like a Native Shopper: English Vocabulary for Shopping, Sales…and SCAMS!",expressions vocabulary,https://www.engvid.com/speak-like-a-native-shopper-english-vocabulary-for-shopping-sales-scams/,Intermediate,Intermediate,"expressions, vocabulary"
122,15 Minutes of English Listening Practice: Listen and Learn!,comprehension,https://www.engvid.com/15-minutes-of-english-listening-practice-listen-and-learn/,Intermediate,Intermediate,comprehension
123,Expand Your Vocabulary: Say More Than “HAPPY” & “SAD”,vocabulary,https://www.engvid.com/expand-your-vocabulary-say-more-than-happy-sad/,"Intermediate, Advanced",Advanced,vocabulary
124,Speak English Naturally: Master LIP & TEETH Sounds in English,pronunciation,https://www.engvid.com/speak-english-naturally-master-lip-teeth-sounds-in-english/,"Beginner, Intermediate",Intermediate,pronunciation
125,Business English Vocabulary: The Production Cycle & Supply Chain,business english vocabulary,https://www.engvid.com/business-english-vocabulary-production-cycle-supply-chain/,Intermediate,Intermediate,"business english, vocabulary"
126,Speak Like a Manager: 8 Better Ways to Say “IMPORTANT”,business english expressions,https://www.engvid.com/speak-like-a-manager-8-better-ways-to-say-important/,Advanced,Advanced,"business english, expressions"
127,15 PHRASAL VERBS for Business and the Office,business english expressions vocabulary,https://www.engvid.com/15-phrasal-verbs-for-business-and-the-office/,Intermediate,Intermediate,"business english, expressions, vocabulary"
128,Reading Body Language: How to tell if someone is interested or bored!,business english culture & tips,https://www.engvid.com/reading-body-language-interested-or-bored/,Intermediate,Intermediate,"business english, culture & tips"
129,Easy English PHRASAL VERBS for Beginners,expressions vocabulary,https://www.engvid.com/easy-english-phrasal-verbs-for-beginners/,Beginner,Beginner,"expressions, vocabulary"
130,Idiom Battle! Learn 10 English Idioms AND their Opposites!,expressions,https://www.engvid.com/idiom-battle-learn-10-english-idioms-and-their-opposites/,Intermediate,Intermediate,expressions
131,"Confusing English Words: NO, KNOW, NOW",vocabulary,https://www.engvid.com/confusing-english-words-no-know-now/,Beginner,Beginner,vocabulary
132,Master English Modals: “SHOULD” or “SHOULD HAVE”?,grammar,https://www.engvid.com/master-english-modals-should-or-should-have/,Intermediate,Intermediate,grammar
133,Making Business Decisions in English: Key Phrases,business english,https://www.engvid.com/making-business-decisions-in-english-key-phrases/,Advanced,Advanced,business english
134,Political Vocabulary in English: 21 Common Terms,culture & tips vocabulary,https://www.engvid.com/political-vocabulary-in-english-21-common-terms/,Advanced,Advanced,"culture & tips, vocabulary"
135,"ONLY, ONLY, ONLY: So many meanings!",grammar speaking,https://www.engvid.com/only-only-only-so-many-meanings/,Advanced,Advanced,"grammar, speaking"
136,“He and I” or “Him and me”? Learn the difference! (English Pronoun Rules),grammar,https://www.engvid.com/he-and-i-him-and-me-english-pronoun-rules/,Intermediate,Intermediate,grammar
137,Easy English Conversation: SUGGEST & RECOMMEND,grammar speaking,https://www.engvid.com/easy-english-conversation-suggest-recommend/,"Beginner, Intermediate",Intermediate,"grammar, speaking"
138,“Having” + Past Participle | Advanced English Grammar,grammar writing,https://www.engvid.com/having-past-participle-advanced-english-grammar/,Advanced,Advanced,"grammar, writing"
139,12 Easy English Expressions with “AT”,expressions,https://www.engvid.com/12-easy-english-expressions-with-at/,"Beginner, Intermediate",Intermediate,expressions
140,"English for Ordering Food: Allergies, Vegan, Halal, Gluten-free…",culture & tips speaking vocabulary,https://www.engvid.com/english-for-ordering-food-allergies-vegan-halal-gluten-free/,"Intermediate, Advanced",Advanced,"culture & tips, speaking, vocabulary"
141,LEARN PHRASAL VERBS THE FUNNY WAY,expressions vocabulary,https://www.engvid.com/learn-phrasal-verbs-the-funny-way/,Intermediate,Intermediate,"expressions, vocabulary"
142,10 “ON” Phrasal Verbs,expressions vocabulary,https://www.engvid.com/10-on-phrasal-verbs/,Intermediate,Intermediate,"expressions, vocabulary"
143,“Should I move to Canada?”,culture & tips,https://www.engvid.com/should-i-move-to-canada/,"Beginner, Intermediate, Advanced",Advanced,culture & tips
144,12 Confusing English Nouns,vocabulary,https://www.engvid.com/12-confusing-english-nouns/,Beginner,Beginner,vocabulary
145,Easy English Conversation: How to Ask for and Give Instructions,speaking vocabulary,https://www.engvid.com/easy-english-conversation-how-to-ask-for-and-give-instructions/,Beginner,Beginner,"speaking, vocabulary"
146,Master 9 Types of English Questions,grammar,https://www.engvid.com/master-9-types-of-english-questions/,"Intermediate, Advanced",Advanced,grammar
147,5 Ways to Practice Speaking English Alone,culture & tips speaking,https://www.engvid.com/5-ways-to-practice-speaking-english-alone/,Intermediate,Intermediate,"culture & tips, speaking"
148,ENGLISH FOR BEGINNERS: 12 Confusing Words,vocabulary,https://www.engvid.com/english-for-beginners-12-confusing-words/,Beginner,Beginner,vocabulary
149,"“I USED TO”, “I GOT USED TO”, “I’M USED TO”: What’s the difference?!",grammar,https://www.engvid.com/i-used-to-i-got-used-to-im-used-to-whats-the-difference/,Intermediate,Intermediate,grammar
150,"English for Parents: Speak with Your Child’s Teacher | Vocabulary, Questions, Tips",culture & tips speaking,https://www.engvid.com/english-for-parents-speak-with-your-childs-teacher/,"Intermediate, Advanced",Advanced,"culture & tips, speaking"
151,10 Prepositional Phrases you should know | English Vocabulary & Conversation,speaking vocabulary,https://www.engvid.com/10-prepositional-phrases-english-vocabulary-conversation/,Advanced,Advanced,"speaking, vocabulary"
152,Improve Your Business English Vocabulary: 40 PROFESSIONAL ENGLISH WORDS,business english vocabulary,https://www.engvid.com/business-english-vocabulary-40-professional-english-words/,"Intermediate, Advanced",Advanced,"business english, vocabulary"
153,FLUENT ENGLISH: Understand & Use Contractions like a Native Speaker,pronunciation speaking,https://www.engvid.com/fluent-english-contractions/,Intermediate,Intermediate,"pronunciation, speaking"
154,"Gill Stoker, 1954⁠–⁠2024",culture & tips,https://www.engvid.com/gill-stoker-1954%e2%81%a0-2024/,"Beginner, Intermediate, Advanced",Advanced,culture & tips
155,Learn English Tenses: PRESENT PERFECT with Unfinished Time,grammar,https://www.engvid.com/learn-english-tenses-present-perfect-with-unfinished-time/,Advanced,Advanced,grammar
156,"Easy English Conversation: MEET, SEE, GET TOGETHER, MEET UP…",speaking vocabulary,https://www.engvid.com/easy-english-conversation-meet-see-get-together-meet-up/,Beginner,Beginner,"speaking, vocabulary"
157,How to introduce yourself in a group,culture & tips speaking,https://www.engvid.com/how-to-introduce-yourself-in-a-group/,"Beginner, Intermediate",Intermediate,"culture & tips, speaking"
158,Confusing Subject & Object Pronouns: HE or HIM? I or ME? SHE AND I or HER AND I…?,,https://www.engvid.com/confusing-subject-object-pronouns/,"Beginner, Intermediate",Intermediate,
159,How to pronounce ‘A’ in English (It’s not that easy!),pronunciation,https://www.engvid.com/how-to-pronounce-a-in-english/,Intermediate,Intermediate,pronunciation
160,"Learn 25 Business English Idioms: “face the music”, “hard sell”, “pass the buck”…",business english expressions,https://www.engvid.com/learn-25-business-english-idioms/,"Intermediate, Advanced",Advanced,"business english, expressions"
161,Take the PIG Personality Test: Learn about yourself in English,culture & tips,https://www.engvid.com/take-the-pig-personality-test/,Intermediate,Intermediate,culture & tips
162,Natural English: 5 Easy Idioms You Can Learn TODAY!,expressions speaking,https://www.engvid.com/natural-english-5-easy-idioms/,Intermediate,Intermediate,"expressions, speaking"
163,"Learn English Vocabulary: Thieves, Robbers, Stealing, Breaking Into…",vocabulary,https://www.engvid.com/learn-english-vocabulary-theft/,Intermediate,Intermediate,vocabulary
